Categories,Courses Name,Tenants,Difficulty Level,Course Rating,Course registered year,No.of Queries Searched
Python,Compose and Program Music in Python using Earsketch,Google Cloud,Intermediate,5,2011,49
Python,"Concepts in Python: Loops, Functions and Returns","University of Maryland, College Park",Beginner,2,2009,46
Python,Create a Python Application using MySQL,IBM,Beginner,2,2010,44
Python,Video Basics with OpenCV and Python,"University of California, Irvine",Intermediate,3,2016,36
Python,Data Visualization with Python,platform courses,Intermediate,3,2010,48
Python,Basic Artificial Neural Networks in Python,The Hong Kong University of Science and Technology,Conversant,5,2009,2
Python,Machine Learning with Python,platform courses,Conversant,4,2011,6
Python,Machine Learning with Python,University of Illinois at Urbana-Champaign,Beginner,4,2016,30
Python,"Merge, Sort and Filter Data in Python Pandas",University of Cape Town,Intermediate,2,2011,46
Python,Build a Python GUI with Tkinter,IBM,Advanced,2,2015,3
Python,Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,IBM,Advanced,2,2011,16
Python,Python for Genomic Data Science,Goldman Sachs,Conversant,3,2009,49
Python,Simulating Viral Pandemics in Python,"University of California, Irvine",Conversant,2,2019,35
Python,Create a Python Application using PyMongo and MongoDB Database,"University of Maryland, College Park",Intermediate,2,2014,37
Python,Understanding and Visualizing Data with Python,platform courses,Intermediate,3,2014,42
Python,Create Your First Game with Python,Rice University,Conversant,4,2017,42
Python,Pandas Python Library for Beginners in Data Science,Unity,Advanced,5,2019,17
Python,Dimensionality Reduction using an Autoencoder in Python,Laureate Education,Intermediate,3,2012,1
Python,Advanced Portfolio Construction and Analysis with Python,University of Colorado System,Beginner,4,2015,13
Python,Geo-Visualization in Python,University of Illinois at Urbana-Champaign,Beginner,5,2018,11
Python,Python and Machine-Learning for Asset Management with Alternative Data Sets,University of Cape Town,Conversant,4,2018,3
Python,Python Data Structures,University of Cape Town,Beginner,4,2017,47
Python,Data Visualization with Python,"University of California, Irvine",Beginner,4,2015,4
Python,Data Visualization with Python,University of Alberta,Intermediate,2,2009,29
Python,Data Collection and Processing with Python,Peking University,Advanced,3,2019,9
Python,Python Basics,Commonwealth Education Trust,Beginner,5,2017,33
Python,Logistic Regression with NumPy and Python,platform courses,Intermediate,5,2012,22
Python,Create a Boggle Word Solver using recursion in Python,Georgia Institute of Technology,Conversant,5,2010,5
Python,Create your own Sudoku Solver using AI and Python,platform courses,Conversant,2,2012,27
Python,Python and Machine Learning for Asset Management,EIT Digital,Advanced,3,2009,24
Python,Create an interactive fiction adventure game with Python,Saint Petersburg State University,Advanced,5,2020,31
Python,Python for Data Science and AI,University of Minnesota,Intermediate,5,2012,7
Python,Data Analysis with Python,Imperial College London,Beginner,2,2019,17
Python,FIFA20 Data Exploration using Python,Yale University,Intermediate,5,2020,42
Python,Python Data Visualization,The State University of New York,Beginner,5,2010,45
Python,Traffic Sign Classification Using Deep Learning in Python/Keras,platform courses,Beginner,5,2012,21
Python,Web Scraping with Python + BeautifulSoup,University of Colorado System,Intermediate,5,2014,8
Python,Logistic Regression with Python and Numpy,Northeastern University,Beginner,2,2019,25
Python,Version Control of a Python Project using Git,University of London,Intermediate,3,2013,35
Python,Computer Vision - Image Basics with OpenCV and Python,University of Colorado Boulder,Beginner,2,2012,8
Python,Applied Machine Learning in Python,University of Colorado Boulder,Intermediate,4,2009,18
Python,Introduction to Portfolio Construction and Analysis with Python,University of Colorado Boulder,Beginner,5,2009,37
Python,"Problem Solving, Python Programming, and Video Games",Duke University,Beginner,4,2018,49
Python,Python Data Analysis,American Museum of Natural History,Beginner,3,2009,19
Python,Fitting Statistical Models to Data with Python,"University of California, Santa Cruz",Beginner,3,2011,37
Python,Exploratory Data Analysis With Python and Pandas,University of Colorado System,Advanced,5,2014,21
Python,Introduction to Reinforcement Learning in Python,Icahn School of Medicine at Mount Sinai,Advanced,3,2013,29
Python,Building Modern Python Applications on AWS,The University of Melbourne,Advanced,4,2011,11
Python,Computer Vision - Object Detection with OpenCV and Python,"University of Maryland, College Park",Intermediate,2,2010,14
Python,Python Classes and Inheritance,ï¿½cole des Ponts ParisTech,Intermediate,5,2010,37
Python,The Raspberry Pi Platform and Python Programming for the Raspberry Pi,platform courses,Advanced,5,2014,21
Python,"Python: Imputations, Feature Creation & Statistical Analysis",platform courses,Beginner,4,2019,21
Python,Data Analysis with Python,University of Colorado Boulder,Intermediate,5,2014,21
Python,Data Analysis with Python,platform courses,Conversant,4,2010,13
Python,Using Python to Access Web Data,Autodesk,Intermediate,5,2017,37
Python,Python for Data Science and AI,University of Michigan,Conversant,3,2009,32
Python,Python for Data Science and AI,Johns Hopkins University,Advanced,5,2014,21
Python,Neural Network Visualizer Web App with Python,platform courses,Conversant,2,2017,28
Python,Statistical Data Visualization in Python,platform courses,Advanced,3,2009,41
Python,Linear Regression with Python,University of Colorado Boulder,Beginner,5,2018,43
Python,Image Denoising Using AutoEncoders in Keras and Python,University of Minnesota,Advanced,4,2013,7
Python,Data Visualization with Python,IE Business School,Beginner,3,2018,21
Python,Language Classification with Naive Bayes in Python,Google Cloud,Beginner,3,2020,31
Python,"Classification Trees in Python, From Start To Finish","University of California, Irvine",Advanced,3,2017,40
Python,Clustering Geolocation Data Intelligently in Python,platform courses,Intermediate,2,2017,46
Python,"Cleaning, Reshaping, and Expanding Datasets in Python",University of Michigan,Intermediate,5,2018,12
Python,Using Databases with Python,University of Copenhagen,Intermediate,5,2013,24
Python,Computer Vision - Object Tracking with OpenCV and Python,Icahn School of Medicine at Mount Sinai,Beginner,2,2012,7
Python,Machine Learning for Accounting with Python,"University of California, Irvine",Intermediate,5,2013,8
Python,Analyze Box Office Data with Seaborn and Python,University of California San Diego,Beginner,2,2013,48
Python,An Introduction to Interactive Programming in Python (Part 1),University of Colorado Boulder,Conversant,3,2009,34
Python,Accounting Data Analytics with Python,University of Colorado System,Advanced,5,2009,32
Python,Intermediate Pandas Python Library for Data Science,platform courses,Conversant,4,2014,16
Python,Machine Learning Feature Selection in Python,Johns Hopkins University,Conversant,3,2014,44
Python,Python for Data Science and AI,Johns Hopkins University,Intermediate,5,2010,17
Python,Linear Regression with NumPy and Python,Korea Advanced Institute of Science and Technology(KAIST),Conversant,3,2012,9654
Python,"Support Vector Machines in Python, From Start to Finish",The University of Sydney,Conversant,2,2016,8
Python,Python and Statistics for Financial Analysis,"University of California, Santa Cruz",Advanced,5,2017,35
Python,Applied Social Network Analysis in Python,"University of California, Irvine",Beginner,5,2017,7339
Python,"Reverse and complement nucleic acid sequences (DNA, RNA) using Python",platform courses,Intermediate,4,2016,17
Python,Support Vector Machine Classification in Python,University of California San Diego,Conversant,2,2020,46
Python,Implementing Hangman Game Using Basics of Python 3,platform courses,Conversant,4,2013,2
Python,Build a Data Science Web App with Streamlit and Python,The Hong Kong University of Science and Technology,Conversant,3,2020,23
Python,Testing and Debugging Python,The University of Sydney,Beginner,2,2012,32
Python,Foundations of Data Science: K-Means Clustering in Python,platform courses,Advanced,4,2010,21
Python,Network Data Science with NetworkX and Python,Duke University,Intermediate,2,2014,46
Python,Create Python Linux Script to Generate a Disk Usage Report,University of Michigan,Intermediate,4,2016,30
Python,Create Your First Web App with Python and Flask,University of Minnesota,Intermediate,5,2014,6
Python,Python Dynamic HTML Web Server,IE Business School,Intermediate,2,2017,7
Python,An Introduction to Interactive Programming in Python (Part 2),University of Illinois at Urbana-Champaign,Intermediate,2,2016,40
Python,"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python",California Institute of the Arts,Advanced,4,2013,31
Python,Big-O Time Complexity in Python Code,Imperial College London,Conversant,3,2017,47
Python,Mining Data to Extract and Visualize Insights in Python,University of Michigan,Beginner,4,2015,19
Python,"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Colorado Boulder,Beginner,3,2013,26
Python,Python Programming Essentials,platform courses,Beginner,5,2016,30
Python,Python Tricks and Hacks for Productivity,EIT Digital,Intermediate,3,2019,5
Python,Exception Handling in Python,University of Michigan,Advanced,4,2020,2912
Python,Using Python to Interact with the Operating System,"University of California, Irvine",Conversant,2,2009,35
Python,AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application,Korea Advanced Institute of Science and Technology(KAIST),Advanced,5,2014,36
Python,"Applied Plotting, Charting & Data Representation in Python",University of Amsterdam,Conversant,2,2009,28
Python,Introduction to Python,Universiteit Leiden,Advanced,3,2017,8
Python,Python Data Structures,University of Minnesota,Advanced,4,2011,22
Python,Data Processing Using Python,platform courses,Beginner,5,2020,20
Python,Applied Text Mining in Python,University of Rochester,Beginner,4,2012,12
Python,Game Theory with Python,DeepLearning.AI,Intermediate,5,2012,28
Python,"Python Project: pillow, tesseract, and opencv",platform courses,Beginner,5,2020,25
Python,Programming for Everybody (Getting Started with Python),University of Virginia,Intermediate,2,2011,19
Python,Class Creation in Object Oriented Python,"University of California, Davis",Intermediate,2,2013,39
Python,Image Compression and Generation using Variational Autoencoders in Python,platform courses,Advanced,5,2014,9
Python,Create a Memory Puzzle Game in Python Using Pygame,University of Colorado Boulder,Beginner,3,2012,17
Python,Automating Real-World Tasks with Python,Case Western Reserve University,Conversant,5,2019,5
Python,Python Programming: A Concise Introduction,ESSEC Business School,Intermediate,3,2014,40
Python,Inferential Statistical Analysis with Python,University of Illinois at Urbana-Champaign,Beginner,2,2020,8
Python,Create Interactive Dashboards with Streamlit and Python,University of Alberta,Advanced,4,2009,18
Python,Python Basics: Create a Guessing Number Game from Scratch,platform courses,Advanced,2,2010,34
Python,Create Your First Python Program,University of Copenhagen,Conversant,3,2020,22
Python,Python Data Representations,University of Illinois at Urbana-Champaign,Beginner,3,2016,33
Python,"Python Functions, Files, and Dictionaries",University of Colorado Boulder,Conversant,3,2019,47
Python,Introduction to Natural Language Processing in Python,Emory University,Intermediate,5,2010,1
Python,Build a Machine Learning Web App with Streamlit and Python,platform courses,Beginner,5,2014,42
Python,Python Geospatial Data Analysis,Berklee College of Music,Intermediate,5,2013,10
Python,Using SAS Viya REST APIs with Python and R,platform courses,Intermediate,5,2009,11
Python,COVID19 Data Analysis Using Python,University of Michigan,Advanced,5,2011,49
Python,Crash Course on Python,University of Michigan,Advanced,3,2015,22
Python,Image Processing with Python,University of Minnesota,Conversant,5,2017,38
Python,COVID19 Data Visualization Using Python,Arizona State University,Advanced,2,2013,20
Python,Introduction to Data Science in Python,Arizona State University,Conversant,4,2016,9
Python,Analyze Box Office Data with Plotly and Python,University of California San Diego,Advanced,3,2012,49
Python,Compose and Program Music in Python using Earsketch,IBM,Advanced,4,2015,24
Python,"Concepts in Python: Loops, Functions and Returns",Google Cloud,Advanced,3,2012,31
Python,Create a Python Application using MySQL,University of London,Intermediate,5,2014,30
Python,Video Basics with OpenCV and Python,University of California San Diego,Beginner,4,2010,49
Python,Data Visualization with Python,University of Illinois at Urbana-Champaign,Advanced,4,2014,38
Python,Basic Artificial Neural Networks in Python,California Institute of the Arts,Conversant,5,2011,21
Python,Machine Learning with Python,Rutgers the State University of New Jersey,Advanced,5,2015,27
Python,Machine Learning with Python,University System of Georgia,Conversant,2,2020,10
Python,"Merge, Sort and Filter Data in Python Pandas",EIT Digital,Beginner,2,2009,49
Python,Build a Python GUI with Tkinter,University of Michigan,Conversant,3,2010,23
Python,Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,Amazon Web Services,Intermediate,4,2010,49
Python,Python for Genomic Data Science,Northwestern University,Beginner,4,2009,9
Python,Simulating Viral Pandemics in Python,Erasmus University Rotterdam,Intermediate,5,2017,1615
Python,Create a Python Application using PyMongo and MongoDB Database,Google,Advanced,2,2015,42
Python,Understanding and Visualizing Data with Python,Palo Alto Networks,Beginner,5,2019,31
Python,Create Your First Game with Python,"University of California, Irvine",Beginner,4,2013,38
Python,Pandas Python Library for Beginners in Data Science,Google,Conversant,2,2010,36
Python,Dimensionality Reduction using an Autoencoder in Python,platform courses,Conversant,4,2020,43
Python,Advanced Portfolio Construction and Analysis with Python,Google Cloud,Conversant,4,2020,8
Python,Geo-Visualization in Python,Columbia University,Conversant,2,2017,6699
Python,Python and Machine-Learning for Asset Management with Alternative Data Sets,University of Michigan,Intermediate,4,2009,37
Python,Python Data Structures,Moscow State Institute of International Relations (MGIMO) / ????? (?????????? ??????????????? ???????? ????????????? ????????? ??? ??????),Beginner,4,2014,6200
Python,Data Visualization with Python,West Virginia University,Conversant,4,2020,40
Python,Data Visualization with Python,University of Illinois at Urbana-Champaign,Intermediate,3,2018,39
Python,Data Collection and Processing with Python,platform courses,Beginner,3,2009,20
Python,Python Basics,EIT Digital,Intermediate,2,2018,12
Python,Logistic Regression with NumPy and Python,Johns Hopkins University,Conversant,2,2020,15
Python,Create a Boggle Word Solver using recursion in Python,West Virginia University,Advanced,5,2020,2
Python,Create your own Sudoku Solver using AI and Python,EIT Digital,Beginner,4,2014,16
Python,Python and Machine Learning for Asset Management,University of Illinois at Urbana-Champaign,Intermediate,2,2017,18
Python,Create an interactive fiction adventure game with Python,University of Virginia,Advanced,5,2019,15
Python,Python for Data Science and AI,Autodesk,Intermediate,3,2020,37
Python,Data Analysis with Python,University of Illinois at Urbana-Champaign,Intermediate,4,2020,23
Python,FIFA20 Data Exploration using Python,"University of Maryland, College Park",Advanced,4,2019,48
Python,Python Data Visualization,platform courses,Advanced,4,2011,17
Python,Traffic Sign Classification Using Deep Learning in Python/Keras,Goldman Sachs,Conversant,4,2015,36
Python,Web Scraping with Python + BeautifulSoup,The University of Edinburgh,Intermediate,5,2017,4
Python,Logistic Regression with Python and Numpy,The State University of New York,Advanced,4,2010,18
Python,Version Control of a Python Project using Git,University of Toronto,Intermediate,2,2020,20
Python,Computer Vision - Image Basics with OpenCV and Python,University of Alberta,Intermediate,2,2020,45
Python,Applied Machine Learning in Python,Vanderbilt University,Beginner,4,2013,5
Python,Introduction to Portfolio Construction and Analysis with Python,University of Minnesota,Conversant,3,2009,13
Python,"Problem Solving, Python Programming, and Video Games",University of Alberta,Conversant,3,2013,23
Python,Python Data Analysis,The University of Sydney,Beginner,3,2017,48
Python,Fitting Statistical Models to Data with Python,University of Colorado Boulder,Intermediate,2,2010,11
Python,Exploratory Data Analysis With Python and Pandas,University of Michigan,Beginner,3,2018,7
Python,Introduction to Reinforcement Learning in Python,Google Cloud,Advanced,4,2012,10
Python,Building Modern Python Applications on AWS,Curtis Institute of Music,Advanced,3,2009,44
Python,Computer Vision - Object Detection with OpenCV and Python,University of Illinois at Urbana-Champaign,Advanced,5,2015,50
Python,Python Classes and Inheritance,platform courses,Intermediate,4,2009,42
Python,The Raspberry Pi Platform and Python Programming for the Raspberry Pi,Berklee College of Music,Beginner,3,2020,47
Python,"Python: Imputations, Feature Creation & Statistical Analysis",Berklee College of Music,Advanced,3,2012,12
Python,Data Analysis with Python,Technical University of Denmark (DTU),Beginner,5,2016,50
Python,Data Analysis with Python,platform courses,Conversant,2,2013,42
Python,Using Python to Access Web Data,The Museum of Modern Art,Conversant,2,2014,15
Python,Python for Data Science and AI,University of Amsterdam,Beginner,2,2019,12
Python,Python for Data Science and AI,Macquarie University,Intermediate,2,2014,46
Python,Neural Network Visualizer Web App with Python,The Hong Kong University of Science and Technology,Advanced,5,2012,23
Python,Statistical Data Visualization in Python,platform courses,Conversant,4,2009,39
Python,Linear Regression with Python,University of Illinois at Urbana-Champaign,Beginner,4,2015,17
Python,Image Denoising Using AutoEncoders in Keras and Python,Moscow Institute of Physics and Technology,Conversant,4,2009,10
Python,Data Visualization with Python,platform courses,Conversant,5,2019,50
Python,Language Classification with Naive Bayes in Python,"University of California, Irvine",Intermediate,4,2010,34
Python,"Classification Trees in Python, From Start To Finish",Google Cloud,Conversant,4,2018,23
Python,Clustering Geolocation Data Intelligently in Python,platform courses,Beginner,3,2018,29
Python,"Cleaning, Reshaping, and Expanding Datasets in Python",The University of North Carolina at Chapel Hill,Beginner,4,2014,2
Python,Using Databases with Python,Politecnico di Milano,Conversant,2,2012,43
Python,Computer Vision - Object Tracking with OpenCV and Python,University of Colorado System,Beginner,4,2020,6
Python,Machine Learning for Accounting with Python,platform courses,Beginner,4,2019,48
Python,Analyze Box Office Data with Seaborn and Python,Universitï¿½ Bocconi,Beginner,5,2018,28
Python,An Introduction to Interactive Programming in Python (Part 1),Johns Hopkins University,Beginner,5,2009,10
Python,Accounting Data Analytics with Python,Johns Hopkins University,Conversant,4,2014,5
Python,Intermediate Pandas Python Library for Data Science,New York University,Advanced,2,2017,37
Python,Machine Learning Feature Selection in Python,University of Minnesota,Advanced,4,2020,23
Python,Python for Data Science and AI,IBM,Beginner,5,2019,26
Python,Linear Regression with NumPy and Python,University of Colorado System,Intermediate,5,2010,13
Python,"Support Vector Machines in Python, From Start to Finish",platform courses,Conversant,5,2009,12
Python,Python and Statistics for Financial Analysis,University of Michigan,Beginner,4,2009,43
Python,Applied Social Network Analysis in Python,platform courses,Intermediate,3,2015,42
Python,"Reverse and complement nucleic acid sequences (DNA, RNA) using Python",Universitat Autï¿½noma de Barcelona,Beginner,5,2009,1
Python,Support Vector Machine Classification in Python,"University of California, Irvine",Advanced,2,2019,12
Python,Implementing Hangman Game Using Basics of Python 3,Vanderbilt University,Advanced,5,2016,40
Python,Build a Data Science Web App with Streamlit and Python,Facebook,Advanced,5,2016,30
Python,Testing and Debugging Python,University System of Georgia,Conversant,2,2017,24
Python,Foundations of Data Science: K-Means Clustering in Python,University of Alberta,Conversant,5,2020,46
Python,Network Data Science with NetworkX and Python,The University of North Carolina at Chapel Hill,Conversant,4,2017,29
Python,Create Python Linux Script to Generate a Disk Usage Report,Institute for the Future,Intermediate,3,2010,10
Python,Create Your First Web App with Python and Flask,platform courses,Conversant,5,2014,7
Python,Python Dynamic HTML Web Server,Autodesk,Beginner,5,2017,13
Python,An Introduction to Interactive Programming in Python (Part 2),Lund University,Intermediate,4,2019,14
Python,"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python",Northwestern University,Conversant,3,2011,43
Python,Big-O Time Complexity in Python Code,"University of California, Davis",Conversant,2,2020,17
Python,Mining Data to Extract and Visualize Insights in Python,Arizona State University,Intermediate,5,2016,16
Python,"Capstone: Retrieving, Processing, and Visualizing Data with Python",Berklee College of Music,Intermediate,2,2010,25
Data Science,Retrieve Data using Single-Table SQL Queries,Berklee College of Music,Intermediate,4,2010,46
Data Science,Grab Data Fast with Vertical and Horizontal LOOKUP,Case Western Reserve University,Intermediate,3,2012,2256
Data Science,Preparing for the Google Cloud Professional Data Engineer Exam,HubSpot Academy,Intermediate,2,2019,39
Data Science,Dealing With Missing Data,University of Cape Town,Conversant,2,2013,26
Data Science,Create a Database with the Modeling Tool in MySQL Workbench,"University of California, Davis",Conversant,5,2017,42
Data Science,Create Relational Database Tables Using SQLiteStudio,platform courses,Beginner,5,2014,6
Data Science,Big data and Language 2,Peter the Great St. Petersburg Polytechnic University,Advanced,5,2018,24
Data Science,Managing Big Data with MySQL,University of Illinois at Urbana-Champaign,Conversant,5,2014,1
Data Science,Security and Privacy for Big Data - Part 1,Autodesk,Beginner,5,2014,46
Data Science,Tell the Data Story with Survey Graphics in Google Slides,Michigan State University,Conversant,2,2016,48
Data Science,Data Analytics Foundations for Accountancy I,Caltech,Advanced,3,2018,38
Data Science,Data Science in Stratified Healthcare and Precision Medicine,Vanderbilt University,Conversant,2,2018,39
Data Science,Data-driven Astronomy,National Research University Higher School of Economics,Advanced,2,2019,6
Data Science,"Understanding China, 1700-2000: A Data Analytic Approach, Part 1",University of California San Diego,Advanced,4,2020,29
Data Science,Statistical Data Visualization with Seaborn,Yale University,Beginner,3,2010,30
Data Science,Data Analysis Using Pyspark,platform courses,Advanced,3,2015,38
Data Science,Introduction to Accounting Data Analytics and Visualization,Imperial College London,Beginner,2,2016,46
Data Science,Materials Data Sciences and Informatics,"University of California, Irvine",Beginner,5,2017,37
Data Science,Introduction to Data Analysis Using Excel,University of Toronto,Conversant,2,2012,34
Data Science,Building a Data Science Team,Georgia Institute of Technology,Beginner,3,2012,2
Data Science,Predictive Analytics and Data Mining,Ludwig-Maximilians-Universitï¿½t Mï¿½nchen (LMU),Intermediate,3,2011,30
Data Science,Database Design and Diagramming in Dia,University of Florida,Conversant,5,2014,21
Data Science,Data Science at Scale - Capstone Project,platform courses,Beginner,5,2014,5
Data Science,Introduction to Big Data,Xi'an Jiaotong University,Advanced,3,2016,26
Data Science,Data Science Math Skills,American Museum of Natural History,Conversant,2,2011,39
Data Science,Introduction to Probability and Data with R,University of Colorado System,Intermediate,4,2014,5596
Data Science,"Understanding China, 1700-2000: A Data Analytic Approach, Part 2",platform courses,Advanced,3,2018,46
Data Science,Advanced Data Structures in Java,Yonsei University,Beginner,2,2011,14
Data Science,Data Visualization and Communication with Tableau,ï¿½cole normale supï¿½rieure,Advanced,5,2010,13
Data Science,Relational database systems,Rice University,Intermediate,5,2017,35
Data Science,IBM Data Topology,The University of Sydney,Intermediate,2,2020,6
Data Science,Security and Privacy for Big Data - Part 2,LearnQuest,Intermediate,2,2019,34
Data Science,Healthcare Data Models,platform courses,Beginner,3,2016,10
Data Science,Data Management for Clinical Research,ï¿½cole Polytechnique Fï¿½dï¿½rale de Lausanne,Intermediate,5,2018,8
Data Science,Analyze Text Data with Yellowbrick,"University of California, Irvine",Beginner,5,2011,5
Data Science,Bayesian Statistics: From Concept to Data Analysis,Case Western Reserve University,Intermediate,3,2019,22
Data Science,Performing Data Definition and Manipulation in SQL,"University of California, Irvine",Advanced,3,2013,25
Data Science,Data Management and Visualization,University of Lausanne,Intermediate,4,2016,20
Data Science,Data Science Ethics,platform courses,Intermediate,3,2016,36
Data Science,Network Security & Database Vulnerabilities,Universitï¿½ Bocconi,Beginner,3,2016,30
Data Science,Object-Oriented Data Structures in C++,University of Virginia,Intermediate,3,2014,26
Data Science,Exploratory Data Analysis,Tel Aviv University,Beginner,2,2011,12
Data Science,Exploratory Data Analysis,platform courses,Conversant,5,2011,32
Data Science,Healthcare Data Quality and Governance,University of Colorado Boulder,Beginner,4,2010,27
Data Science,Data Science Capstone,Vanderbilt University,Beginner,5,2009,42
Data Science,Data Science Capstone,Google AR & VR,Advanced,4,2014,37
Data Science,Social Media Data Analytics,Automation Anywhere,Advanced,3,2017,24
Data Science,"Javascript animation for websites, storytelling, data visualization and games",National Research Nuclear University MEPhI,Beginner,5,2015,10
Data Science,Plots (Graphics) for Data Science,Saint Petersburg State University,Beginner,4,2014,42
Data Science,Qualitative Data Collection Methods,University of Michigan,Conversant,5,2010,25
Data Science,Applying Machine Learning to your Data with GCP,INSEAD,Beginner,3,2017,36
Data Science,Network Security & Database Vulnerabilities,Nanjing University,Advanced,4,2020,8
Data Science,Performing Data Aggregation using SQL Aggregate Functions,Universiteit Leiden,Conversant,2,2013,19
Data Science,The Data Science of Health Informatics,University of Michigan,Conversant,2,2014,43
Data Science,Advanced Linear Models for Data Science 1: Least Squares,Arizona State University,Intermediate,3,2009,41
Data Science,Databases and SQL for Data Science,platform courses,Intermediate,2,2016,7
Data Science,Handling Imbalanced Data Classification Problems,The State University of New York,Advanced,3,2014,14
Data Science,Data Science in Real Life,University of Alberta,Beginner,2,2018,49
Data Science,Using Data for Geographic Mapping and Forecasting in SAS Visual Analytics,Technical University of Denmark (DTU),Conversant,5,2009,45
Data Science,"Data Analysis and Representation, Selection and Iteration",University of Michigan,Beginner,4,2010,9
Data Science,Cluster Analysis in Data Mining,Moscow Institute of Physics and Technology,Intermediate,3,2010,19
Data Science,Survey Data Collection and Analytics Project (Capstone),platform courses,Advanced,4,2019,1
Data Science,Build Data Analysis tools using R and DPLYR,platform courses,Conversant,4,2018,32
Data Science,Anomaly Detection in Time Series Data with Keras,The University of Melbourne,Advanced,2,2019,13
Data Science,Excel Basics for Data Analysis,platform courses,Intermediate,5,2018,14
Data Science,Combining and Analyzing Complex Data,"University of California, Davis",Advanced,2,2013,13
Data Science,Using Descriptive Statistics to Analyze Data in R,ï¿½cole Polytechnique Fï¿½dï¿½rale de Lausanne,Beginner,3,2010,11
Data Science,Data Visualization,Saint Petersburg State University,Intermediate,3,2018,49
Data Science,Managing Data Analysis,University of Illinois at Urbana-Champaign,Advanced,4,2009,4
Data Science,Introduction to Data Analytics,University of Michigan,Conversant,5,2017,12
Data Science,Code Free Data Science,platform courses,Intermediate,3,2013,5
Data Science,Basic Data Processing and Visualization,Google Cloud,Conversant,3,2011,4
Data Science,"Introduction to Data, Signal, and Image Analysis with MATLAB","University of California, Irvine",Advanced,5,2018,18
Data Science,Research Data Management and Sharing,Johns Hopkins University,Intermediate,3,2011,24
Data Science,Create Your First NoSQL Database with MongoDB and Compass,University of Copenhagen,Advanced,4,2015,9
Data Science,"Biological Diversity (Theories, Measures and Data sampling techniques)",Korea Advanced Institute of Science and Technology(KAIST),Conversant,5,2012,10
Data Science,Statistics for Genomic Data Science,University of Colorado System,Conversant,5,2011,43
Data Science,Advanced Features with Relational Database Tables Using SQLiteStudio,UNSW Sydney (The University of New South Wales),Beginner,2,2015,35
Data Science,Predict Gas Guzzlers using a Neural Net Model on the MPG Data Set,University of Illinois at Urbana-Champaign,Intermediate,5,2009,39
