,course_name,tags,Course Rating,Difficulty_Level,user_profile,Marks,Recommendation
1366,Finding bibliography metrics using the Crossref API,find bibliographi metric use the crossref apibeginnerstudentcombin metadata project leadership and manag applic program interfac meta-analysi euler' totient function number spreadsheet sourc extract data-sci data-analysis5.086,5.0,Beginner,Student,86,"FIFA20 Data Exploration using Python,Introduction to Business Analysis Using Spreadsheets Basics,Plots (Graphics) for Data Science,Executive Data Science Capstone,Data Management and Visualization,Geo-Visualization in Python"
109,Big data and Language 2,big data and languag 2advancedprofessionaltext corpu rel chang and differ languag linguist corpora process analysi big data corpu linguist search engin optim language-learn learning-english5.084,5.0,Advanced,Professional,84,"Big data and Language 1,Towards language universals through lexical semantics introduction to lexical and semantic typology,Lesson | Get Ready for the Interview,Data Science Capstone,Miracles of Human Language An Introduction to Linguistics,Data Science Capstone"
1237,Computational Thinking for K-12 Educators Nested If Statements and Compound Conditionals,comput think for k-12 educ nest if statement and compound conditionalsadvancedprofessionalflowchart ternari condit oper comput program more than two modulo oper compound laravel nest debug interact social-sci education5.083,5.0,Advanced,Professional,83,"Computational Thinking for K-12 Educators Variables and Nested Loops,Computational Thinking for K-12 Educators Sequences and Loops,Computational Thinking for K-12 Educators Conditional Loops and If Statements,Mastering Programming with MATLAB,Computational Thinking for K-12 Educators Abstraction Methods and Lists,Learn to Teach Java Sequences Primitive Types and Using Objects"
298,Encryption And Decryption Using C++,encrypt and decrypt use c++beginnerprofessionalproject cryptographi project mine algorithm linux secur modul form-bas authent cipher perl softwar encrypt i-dea computer-sci software-development5.082,5.0,Beginner,Professional,82,"Cybersecurity Capstone Project,Software Security,Create your first Java project using jGRASP,Introduction to Docker  The Basics,Software Design as an Element of the Software Development Lifecycle,Capstone Autonomous Runway Detection for IoT"
437,Digital Signal Processing 4 Applications,digit signal process 4 applicationsadvancedprofessionaldigit signal process imag process modem electron signal process algorithm satellit digit imag system data transmiss microcontrol imag compress physical-science-and-engin electrical-engineering5.082,5.0,Advanced,Professional,82,"Digital Signal Processing 3 Analog vs Digital,Digital Signal Processing 1 Basic Concepts and Algorithms,Digital Signal Processing 2 Filtering,Fundamentals of Digital Image and Video Processing,Image Processing with Python,Image and Video Processing From Mars to Hollywood with a Stop at the Hospital"
560,Compare time series predictions of COVID-19 deaths,compar time seri predict of covid-19 deathsbeginnerprofessionalpython program model analysi project time seri a t.i.m.e. train machin learn death time seri analysi data-sci machine-learning5.081,5.0,Beginner,Professional,81,"Intro to Time Series Analysis in R,Sequences Time Series and Prediction,Practical Time Series Analysis,Predict Future Product Prices Using Facebook Prophet,Applying Data Analytics in Finance,Anomaly Detection in Time Series Data with Keras"
1306,Artificial Intelligence Ethics in Action,artifici intellig ethic in actionbeginnerprofessionalgam theori ethic project project mine text mode .bit a/ros predict text littl b program languag model data-sci data-analysis5.081,5.0,Beginner,Professional,81,"Big Data Artificial Intelligence and Ethics,Getting Started with R,Analyze Text Data with Yellowbrick,Geo-Visualization in Python,FIFA20 Data Exploration using Python,Plots (Graphics) for Data Science"
142,Tracking Student Growth using Google Slides,track student growth use googl slidesbeginnerprofessionalproject mine child account project parent peer parent person advertis graph confid social-sci education5.080,5.0,Beginner,Professional,80,"Using Google Forms for Student Success,Increase Student Buy in with Google Slides,Using Seesaw for Student Learning,Creating a Student Profile in Google Docs,Improving Classroom Management with Class Dojo,Implementing Parent Feedback with Google Forms"
938,Qualitative Research Design,qualit research designbeginnerstudentproblem statement quantit research observ research method qualit analysi qualit research focu group research design research ethic recruit life-sci health-informatics5.080,5.0,Beginner,Student,80,"Qualitative Research,Qualitative Research Methods,Qualitative Data Collection Methods,Understanding Research Methods,Research Proposal Initiating Research,Quantitative Methods"
75,Animals and Institutions,anim and institutionsbeginnerstudentlivestock anim veterinari veterinari medicin captiv diet sport anim scienc medicin evalu social-sci governance-and-society5.078,5.0,Beginner,Student,78,"EDIVET Do you have what it takes to be a veterinarian?,Animals Self and Society,Sports and Society,Everyday Chinese Medicine 2,Sustainable Food Production Through Livestock Health Management,Traditional herbal medicine in supportive cancer care From alternative to integrative"
579,Java Inheritance Composition and Aggregation,java inherit composit and aggregationbeginnerstudentchild is-a comput program parent order pair user comput parent project code reus inherit object-ori program computer-sci software-development5.078,5.0,Beginner,Student,78,"Object-Oriented Programming with Java,Class Creation in Object Oriented Python,Intermediate Object-Oriented Programming with Java,Object Oriented Programming in Java,Object Oriented Programming in Java,Learn Object Oriented Programming With C++"
549,My Favorite Lectures @ HKUST,my favorit lectur @ hkustadvancedprofessionalfundrais teach creativ anthropolog resourc philosophi commun interpret lectur biolog anthropolog social-sci education5.076,5.0,Advanced,Professional,76,"Classical Sociological Theory,The Social Context of Mental Health and Illness,Aboriginal Worldviews and Education,Introduction to Communication Science,Communication theory bridging academia and practice,REAL BONES Adventures in Forensic Anthropology"
593,Acing the Product Management Interview,ace the product manag interviewadvancedprofessionalprocess manag product manag digit market benchmark leadership listen leadership and manag person advertis interview sg&a computer-sci design-and-product5.076,5.0,Advanced,Professional,76,"The Art & Science of Product Management,Fundamentals of Management,Digital Product Management Modern Fundamentals,Digital Product Management Modern Fundamentals,Managing the Company of the Future,Fundamentals of Management with Goldman Sachs 10 000 Women"
1154,Build CRUD REST API in Django,build crud rest api in djangointermediateprofessionalseri project project mine django web framework applic program interfac order pair front and back end model represent state transfer directori structur computer-sci software-development5.076,5.0,Intermediate,Professional,76,"RESTful API with HTTP and JavaScript,Data Collection and Processing with Python,Build a Twitter Clone Backend,Project Creating Your First C++ Application,Build A Google Firebase Web App (Part II),Build a film club web app on Google AppEngine"
906,Revolutionary Ideas Borders Elections Constitutions Prisons,revolutionari idea border elect constitut prisonsintermediatestudentart histori crime semant law elect econom crimin justic prison constitut prison arts-and-human philosophy5.074,5.0,Intermediate,Student,74,"Magna Carta and its Legacies Freedom and protest,Revolutionary Ideas Utility Justice Equality Freedom,The Rooseveltian Century,Introduction to International Criminal Law,The Kennedy Half Century,Feminism and Social Justice"
1053,Run a Sparkline Trend Analysis in Google Sheets,run a sparklin trend analysi in googl sheetsbeginnerstudentlin chart euler' totient function lookup tabl spreadsheet softwar run chart spreadsheet data analysi exploratori data analysi trend analysi data-sci data-analysis5.074,5.0,Beginner,Student,74,"Introduction to Data Analysis Using Excel,Exploratory Data Analysis With Python and Pandas,Exploratory Data Analysis with MATLAB,Data Analysis with Python,Data Analysis with Python,Data Analysis with Python"
964,Palliative Care Capstone Projects,palli care capston projectsintermediatestudentnonverb commun health care self-awar advanc care plan experi appetit intraperson commun project symptom pain manag life-sci patient-care5.072,5.0,Intermediate,Student,72,"What is Palliative Care?,Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale,The Science of Health Care Delivery,Prepare for the EMT Certification Test,Health Care IT Challenges and Opportunities,Introduction to Integrative Nursing"
1032,Getting Started with Linux Terminal,get start with linux terminaladvancedstudentproject mine uniform resourc locat superus oper manag bayesian anonym pipe download internet project oper system computer-sci computer-security-and-networks5.072,5.0,Advanced,Student,72,"How Computers Work,The Business of Cybersecurity Capstone,Architecting Smart IoT Devices,1E Test How Computers Work,Blockchain Cryptoassets and Decentralized Finance,Cybersecurity and the Internet of Things"
1273,Create Fault Tolerant MongoDB Cluster,creat fault toler mongodb clusterbeginnerprofessionaldatabas verif and valid jpeg project manag certif data cluster algorithm server farm connect string mongodb inc. databas server mongodb information-technolog data-management5.072,5.0,Beginner,Professional,72,"Create Your First NoSQL Database with MongoDB and Compass,CRUD Operations using MongoDB NoSQL,MongoDB Aggregation Framework,Cluster Analysis in Data Mining,Manipulating Data with SQL,Big Data Integration and Processing"
1463,Generative Design for Part Consolidation,gener design for part consolidationadvancedstudentstress mechan engin clinic studi design clone simul materi gener design geometri autodesk gener model physical-science-and-engin mechanical-engineering5.072,5.0,Advanced,Student,72,"Generative Design for Industrial Applications,Generative Design for Performance and Weight Reduction,Generative Design for Additive Manufacturing,Engineering Design Process with Autodesk Fusion 360,Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360,CAM and Design Manufacturing for Mechanical Engineers with Autodesk Fusion 360"
805,Create a Google Ads Video Campaign,creat a googl ad video campaignadvancedstudentfrequ cap budget schedul webcam market market strategi project onlin advertis budget manag strategi busi marketing5.071,5.0,Advanced,Student,71,"Create a Google Ads Search Campaign,Create a Google Video Ads Sequence Campaign,Marketing Strategy Capstone Project,Marketing Management I,Marketing Strategy for Entrepreneurs,Marketing in a Digital World"
1347,Getting Started with ProfitBooks,get start with profitbooksbeginnerstudentinventori account custom relationship manag entrepreneurship u.s. secur and exchang commiss c dynam memori alloc payrol invoic virtual tour project busi finance5.071,5.0,Beginner,Student,71,"Introduction to CRM with HubSpot,Capstone Project Business Technology Management,Introduction to Project Management with ClickUp,Project Management Project,Project Management Creating the WBS,IT Project Management"
377,Calculating Descriptive Statistics in R,calcul descript statist in rbeginnerprofessionalcovari basic descript statist project categor variabl gener statist student residu averag univari stata project mine data-sci data-analysis5.067,5.0,Beginner,Professional,67,"Using Descriptive Statistics to Analyze Data in R,SQL for Data Science Capstone Project,Plots (Graphics) for Data Science,Bayesian Statistics Mixture Models,Introduction to Probability and Data with R,Statistics with R Capstone"
1008,Terraform Basics Automate Provisioning of AWS EC2 Instances,terraform basic autom provis of aw ec2 instancesintermediatestudentwrit project mine plan project provis continu function must command-lin interfac resourc entri point information-technolog cloud-computing5.067,5.0,Intermediate,Student,67,"Hosting a Static Website (HTML/CSS/Javascript) in AWS S3,Initiating and Planning Projects,Initiating and Planning Projects,Capstone Project Business Technology Management,Engineering Project Management Initiating and Planning,Project Planning and Machine Learning"
1129,Science of Training Young Athletes Part 2,scienc of train young athlet part 2intermediateprofessionalsport train heart rate perform order pair plan adapt exercis homeostasi coach personal-develop personal-development5.067,5.0,Intermediate,Professional,67,"The Science of Training Young Athletes,How to Get Skilled Introduction to Individual Skills Management (Project-Centered Course),Designing Your Personal Weight Loss Plan,The Science of Well-Being,Achieving Your Optimal Performance,The Arts and Science of Relationships Understanding Human Needs"
1068,Fundamentals of Modern Russian-designed NPPs with VVER-1200,fundament of modern russian-design npp with vver-1200advancedprofessionalp versu np problem spent nuclear fuel physic turbin us govern project theori of rel euler' totient function materi safeti nuclear fuel energi physical-science-and-engin physics-and-astronomy5.066,5.0,Advanced,Professional,66,"Nuclear Reactor Physics Basics,Particle Physics an Introduction,Astro 101 Black Holes,Physics 101 - Energy and Momentum,The Evolving Universe,Introduction into General Theory of Relativity"
455,Learn to Teach Java ArrayLists and 2D Arrays,learn to teach java arraylist and 2d arraysadvancedprofessionaltest case method comput program approxim error sort market segment number spreadsheet code segment evalu resourc array social-sci education5.065,5.0,Advanced,Professional,65,"Learn to Teach Java  Boolean Expressions If Statements and Iteration,Learn to Teach Java Sequences Primitive Types and Using Objects,Learn to Teach Java Inheritance and Recursion,Learn to Teach Java Writing Classes and Arrays,Object Oriented Programming in Java,Object Oriented Programming in Java"
1340,The Art & Science of Product Management,the art & scienc of product managementbeginnerprofessionalbusi partner process manag busi process digit market busi process manag mbase softwar product manag product strategi neat vs. scruffi product manag computer-sci design-and-product5.051,5.0,Beginner,Professional,51,"Digital Product Management Modern Fundamentals,Digital Product Management Modern Fundamentals,Acing the Product Management Interview,The Business of Product Management I,Business Process Management in Healthcare Organizations,Fundamentals of Management"
2297,Create a Google Video Ads Sequence Campaign,creat a googl video ad sequenc campaignadvancedstudentinteract strategi budget storytel web interact storytel account project inventori onlin advertis busi marketing5.030,5.0,Advanced,Student,30,"Create a Google Ads Video Campaign,Create a Google Ads Search Campaign,Transmedia Storytelling Narrative worlds emerging technologies and global audiences,Create a Google Ads Display Campaign,Google Ads for Beginners,Business Strategy in Practice (Project-centered Course)"
2394,Chemical Biology,chemic biologyintermediateprofessionalquantit structur activ relationship chemic engin chemistri molecular model nanorobot biorobot folding@hom adapt sampl chemic biolog molecular model physical-science-and-engin chemistry5.030,5.0,Intermediate,Professional,30,"Introduction to Molecular Spectroscopy,Dense Gases Liquids and Solids,Fundamentals of Macroscopic and Microscopic Thermodynamics,Ferrous Technology II,Nanotechnology and Nanosensors Part 2,Wood Science Beyond Building"
2568,Tinkering Fundamentals Motion and Mechanisms,tinker fundament motion and mechanismsintermediatestudentdisciplin chain pedagogi teach child experi fund principl augment assign phenomenon personal-develop personal-development5.030,5.0,Intermediate,Student,30,"Tinkering Fundamentals Circuits,Introduction to Personal Branding,Career Options Exploring a New Career,Essentials for English Speeches and Presentations ???????,Achieving Your Optimal Performance,The Arts and Science of Relationships Understanding Human Needs"
2401,Supervised Learning Regression,supervis learn regressionadvancedstudentregress earli stop valid set mathemat logist regress comput scienc supervis learn scatterplot smooth machin learn line fit data-sci machine-learning5.029,5.0,Advanced,Student,29,"Supervised Learning Regression,Applied Machine Learning in Python,Structuring Machine Learning Projects,Practical Machine Learning on H2O,Introduction to Applied Machine Learning,Guided Tour of Machine Learning in Finance"
2434,Reclaiming the Street,reclaim the streetbeginnerstudentcycl repurpos experi urban plan planner program languag extern pandem heurist re-defin pandem social-sci governance-and-society5.029,5.0,Beginner,Student,29,"Innovative Governance of Large Urban Systems,Studying Cities Social Science Methods for Urban Research,Epidemics Pandemics and Outbreaks,Cities are back in town  urban sociology for a globalizing urban world,African cities  An Introduction to Urban Planning,Unraveling the Cycling City"
2891,Introduction to Unit Testing in Jest - The Fundamentals,introduct to unit test in jest - the fundamentalsbeginnerprofessionalappl program interfac write user comput regular express video game develop python program softwar test logic gate data type unit test computer-sci software-development5.029,5.0,Beginner,Professional,29,"Engineering Maintainable Android Apps,Introduction to Software Testing,Testing and Debugging Python,Continuous Delivery & DevOps,Introduction to Basic Game Development using Scratch,Python Classes and Inheritance"
2964,Qualitative Data Analysis with MAXQDA Software,qualit data analysi with maxqda softwareintermediatestudentprocess qualit research codebas analysi qualit data analysi market segment quotat data analysi themat analysi qualit analysi life-sci health-informatics5.027,5.0,Intermediate,Student,27,"Qualitative Comparative Analysis (QCA),Exploratory Data Analysis With Python and Pandas,Qualitative Research Methods,Geospatial Analysis Project,Data Analysis with Python,Data Analysis with Python"
3505,Programming Languages Part C,program languag part cadvancedprofessionaleuler' totient function comput program closur comput program bound quantif function program subtyp languag type system rubi program languag order pair computer-sci software-development5.027,5.0,Advanced,Professional,27,"Programming Languages Part B,Programming Languages Part A,Functions Methods and Interfaces in Go,Introduction to Programming with MATLAB,Functional Programming Principles in Scala,Code Yourself! An Introduction to Programming"
1777,Cloud Systems Software,cloud system softwareadvancedprofessionalorchestr comput i/o virtual health architectur neutral distribut format cloud-bas integr softwar framework system program sql cloud engin multiti architectur information-technolog cloud-computing5.025,5.0,Advanced,Professional,25,"Cloud Applications,Cloud Computing Basics (Cloud 101),Reliable Google Cloud Infrastructure Design and Process,Reliable Google Cloud Infrastructure Design and Process,Reliable Google Cloud Infrastructure Design and Process,Preparing for the Google Cloud Professional Cloud Architect Exam"
1785,JavaScript Numbers Properties and Methods,javascript number properti and methodsbeginnerstudentdata type write .properti text corpu digit signatur comput program project mine number spreadsheet project concaten computer-sci mobile-and-web-development5.025,5.0,Beginner,Student,25,"JavaScript Strings Properties and Methods,Introduction to JavaScript,Getting Started with Blazor WASM,C++ Decision Programming,Getting Started with Go,Build A Google Firebase Web App (Part II)"
1847,Exploring Beethoven�s Piano Sonatas Part 2,explor beethoven� piano sonata part 2beginnerprofessionalanalysi latex piano happi music prior probabl opu audio format rubygem awe drama arts-and-human history5.024,5.0,Beginner,Professional,24,"Exploring Beethoven's Piano Sonatas Part 6,Exploring Beethoven�s Piano Sonatas,Exploring Beethoven's Piano Sonatas Part 5,Exploring Beethoven's Piano Sonatas Part 4,The World of the String Quartet,Fundamentals of Rehearsing Music Ensembles"
2233,Exploring Beethoven's Piano Sonatas Part 6,explor beethoven' piano sonata part 6intermediatestudentpiano anguish drama anticip ascend chord opu audio format awe continu music arts-and-human history5.024,5.0,Intermediate,Student,24,"Exploring Beethoven�s Piano Sonatas Part 2,Exploring Beethoven's Piano Sonatas Part 5,Exploring Beethoven�s Piano Sonatas,Exploring Beethoven's Piano Sonatas Part 4,The World of the String Quartet,Write Like Mozart An Introduction to Classical Music Composition"
2559,Change Leadership Strategic Route Analysis with Miro,chang leadership strateg rout analysi with miroadvancedstudentleadership innov plan chang manag empower busi case model person advertis map project busi business-strategy5.023,5.0,Advanced,Student,23,"Change Leadership Developing Strategic Gap Analysis in Miro,Change Leadership Developing Force Field Analysis in Miro,Business Strategy,Moving to the Cloud,Business Strategy in Practice (Project-centered Course),Strategic Management"
2722,Cleaning Reshaping and Expanding Datasets in Python,clean reshap and expand dataset in pythonconversantprofessionalvari accuraci and precis genet featur scale lambda calculu outlier clean estim miss data combin data-sci machine-learning5.022,5.0,Conversant,Professional,22,"Exploratory Data Analysis for Machine Learning,Exploratory Data Analysis for Machine Learning,Movie Recommendation System using Collaborative Filtering,Intermediate Pandas Python Library for Data Science,What is Data Science?,What is Data Science?"
2619,Computational Thinking for K-12 Educators Abstraction Methods and Lists,comput think for k-12 educ abstract method and listsadvancedprofessionalabstract ?-recurs function laravel euler' totient function interact recurs continu function lambda calculu puzzl index social-sci education5.021,5.0,Advanced,Professional,21,"Mathematics for economists,Quantitative Foundations for International Business,Create a Boggle Word Solver using recursion in Python,Classical Cryptosystems and Core Concepts,Precalculus Periodic Functions,Computational Thinking for K-12 Educators Nested If Statements and Compound Conditionals"
1666,Computational Thinking for K-12 Educators Conditional Loops and If Statements,comput think for k-12 educ condit loop and if statementsadvancedstudentp condit loop vote teach method debug do while loop control flow interact rel chang and differ resourc social-sci education5.020,5.0,Advanced,Student,20,"Computational Thinking for K-12 Educators Sequences and Loops,Computational Thinking for K-12 Educators Nested If Statements and Compound Conditionals,Assessment and Teaching of 21st Century Skills,Teaching Impacts of Technology Relationships,Computational Thinking for K-12 Educators Abstraction Methods and Lists,Concepts in Python Loops Functions and Returns"
2498,Edit Your Photos for Social Media Marketing using PicsArt,edit your photo for social media market use picsartbeginnerprofessionaledit project budget social media social media market employ media market video edit media psycholog download busi marketing5.020,5.0,Beginner,Professional,20,"Introduction to PicsArt for Social Media Marketing,What is Social?,Social Media Advertising,Content Advertising & Social IMC,The Importance of Listening,Introduction to Social Media Marketing"
3311,Agile Projects Defining Epics and Mapping Value with Taiga,agil project defin epic and map valu with taigabeginnerprofessionalmap project manag present product develop custom experi agil manag web design leadership and manag project cost benefit analysi busi business-strategy5.020,5.0,Beginner,Professional,20,"Agile Projects Creating User Stories with Value in Taiga,Agile Projects Developing Tasks with Taiga,Agile Projects Develop Product Wireframe Prototypes in Miro,Engineering Project Management Scope Time and Cost Management,IT Project Management,Project Management Project"
2400,Supervised Learning Regression,supervis learn regressionadvancedstudentregress earli stop valid set mathemat logist regress comput scienc supervis learn scatterplot smooth machin learn line fit data-sci machine-learning5.019,5.0,Advanced,Student,19,"Supervised Learning Regression,Applied Machine Learning in Python,Structuring Machine Learning Projects,Practical Machine Learning on H2O,Introduction to Applied Machine Learning,Guided Tour of Machine Learning in Finance"
2460,The Power of Machine Learning Boost Business Accumulate Clicks Fight Fraud and Deny Deadbeats,the power of machin learn boost busi accumul click fight fraud and deni deadbeatsintermediatestudentdata analysi fuzzi logic predict analyt machin learn busi case analyt natur languag toolkit .bit softwar mathemat data-sci machine-learning5.019,5.0,Intermediate,Student,19,"Predictive Analytics for Business with H2O in R,Machine Learning with H2O Flow,Introduction to Applied Machine Learning,Business Application of Machine Learning and Artificial Intelligence in Healthcare,Optimizing Machine Learning Performance,Applied Machine Learning in Python"
3004,Becoming a Social Entrepreneur Getting Started,becom a social entrepreneur get startedbeginnerstudentsoci return on invest social entrepreneurship opm debias 6-3-5 brainwrit learn theori educ sostac connectiv valid learn satisf busi entrepreneurship5.018,5.0,Beginner,Student,18,"Learning to Teach Online,Identifying Social Entrepreneurship Opportunities,Social Business Model and Planning for Social Innovation,Creating Interactive Learning Videos with Edpuzzle,Learning Technologies Foundations and Applications,What future for education?"
1613,Fundamentals of Social Media Advertising,fundament of social media advertisingadvancedprofessionalasset social media market digit market art digit advertis creativ brief social media advertis market project manag certif busi marketing5.017,5.0,Advanced,Professional,17,"Measure and Optimize Social Media Marketing Campaigns,Introduction to Social Media Marketing,Social Media Advertising,Content Advertising & Social IMC,Social Marketing Capstone Project,Digital Media and Marketing Principles"
1753,Applied Public History Places People Stories,appli public histori place peopl storiesconversantstudentexperi collabor histor reenact map resourc target audienc histori case studi evalu art arts-and-human history5.017,5.0,Conversant,Student,17,"ART of the MOOC Public Art and Pedagogy,Modern American Poetry,What Is Contemporary Art?,Russian History from Lenin to Putin,America Through Foreign Eyes,The Modern and the Postmodern (Part 1)"
1764,Promote the Ethical Use of Data-Driven Technologies,promot the ethic use of data-driven technologiesadvancedprofessionalanalysi critic determin bia virtu ethic legal solut privaci deep learn principl data-sci machine-learning5.017,5.0,Advanced,Professional,17,"Intermediate Pandas Python Library for Data Science,What is Data Science?,What is Data Science?,What is Data Science?,What is Data Science?,Data Science for Business Innovation"
2160,Conduct a Cost-Benefit Analysis in Google Sheets,conduct a cost-benefit analysi in googl sheetsbeginnerstudentspreadsheet project benefit present valu worksheet cost cost benefit analysi lookup tabl spreadsheet softwar break-even econom busi business-strategy5.017,5.0,Beginner,Student,17,"Managerial Accounting Fundamentals,Managerial Economics and Business Analysis Capstone,Evaluate Profit Margins with VLOOKUP in Google Sheets,Construction Cost Estimating and Cost Control,Foundations of Business Strategy,Agile Projects Creating User Stories with Value in Taiga"
2435,Collaborate on Files in Slack Local & Google Drive Integrations,collabor on file in slack local & googl drive integrationsintermediateprofessionalorganiz commun archiv file cloud-bas integr workspac point devic gestur maxim psycholog organ manag messag busi commun collabor busi business-strategy5.017,5.0,Intermediate,Professional,17,"Leveraging Mentions and Threads in Slack,Effective Communication Capstone Project,Business Transformation with Google Cloud,Business English Planning & Negotiating,Communication in the 21st Century Workplace,Types of Conflict"
2554,Population Health Syndemics,popul health syndemicsintermediateprofessionalhealth indic interact syndem comorbid entri point biolog qualit research observ process interview life-sci public-health5.017,5.0,Intermediate,Professional,17,"Qualitative Research Design,Qualitative Data Collection Methods,Foundations of Public Health Practice The Public Health Approach,The People Power and Pride of Public Health,Global Health An Interdisciplinary Overview,Population Health Fundamentals of Population Health Management"
2644,Cognitive Solutions and RPA Analytics,cognit solut and rpa analyticsbeginnerprofessionalbusi analyt it oper analyt order pair mobil app user interfac checkbox analyt extract applic program interfac jpeg information-technolog data-management5.017,5.0,Beginner,Professional,17,"Set up Google Analytics for a single page website,Advanced Business Analytics Capstone,Communicating Business Analytics Results,Visual Analytics with Tableau,Introduction to Data Analytics for Business,Creating Advanced Reports with SAS Visual Analytics"
2684,Structured Query Language (SQL) using SAS,structur queri languag (sql) use sasadvancedstudentjoin sql have sql sql pro*c row null coalesc oper databas macro comput scienc order by modulo oper data-sci data-analysis5.017,5.0,Advanced,Student,17,"Querying Databases Using SQL SELECT statement,SQL for Data Science,Performing Data Aggregation using SQL Aggregate Functions,Beginning SQL Server,SQL for Data Science Capstone Project,Retrieve Data with Multiple-Table SQL Queries"
