course,user_registration_year,id_user,user_profile,region,course_level,age_band,num_of_prev_attempts,studied_credits,qualification,final_result,course_registration_in_days,course_unregistration_in_days,course_present_in_platform_in_days,module_used_by_user_in_days,total_no_of_times_module_opened,activities_engaged_wrt_modules,total_clicks,projects_completed,average_assessment_score,queries,Hrabsence,Consultations,Attedance,Tenants,Recommend_course_priority,Are_you_Happy_with_course,Projects_in_the_course,Pending_projects,Category
Data Science,2011,543919,Student,London ,Intermediate,0-35,0,120,Graduate,Pass,-100,240,340,240,52,229,558,100,68.57142857,Data Science,30,12,Highasbence,Embibe,Low,1,244,144,
Data Science,2014,275180,Professional,Cheshire,Intermediate,35-55,0,60,Graduate,Pass,-99,262,361,262,146,991,3886,83,46.6,Artificial Intelligence,30,20,Highasbence,Toppr,Very Low,1,249,166,
Data Science,2012,583973,Professional, Oxfordshire,Advanced,0-35,0,30,Graduate,Pass,-99,261,360,261,41,186,584,70,85.71428571,Machine learning,30,19,Highasbence,Brainly,Very High ,1,274,204,
Data Science,2012,585201,Professional, Oxfordshire,Beginner,0-35,0,30,Graduate,Pass,-99,261,360,261,25,102,375,70,64.28571429,Python,4,50,Lowasbence,Class Plus,Medium,0,208,138,
Data Science,2011,536261,Student, Oxfordshire,Intermediate,0-35,0,60,Graduate,Pass,-96,240,336,240,65,328,768,100,86.28571429,Data Science,12,42,Lowasbence,EduKart,High,0,264,164,
Data Science,2011,537138,Student,Yorkshire Region,Intermediate,0-35,0,60,Graduate,Pass,-96,240,336,240,120,763,2070,93,71.84615385,Artificial Intelligence,16,23,Lowasbence,WizIQ,Low,1,209,116,
Data Science,2011,537603,Student,London ,Beginner,0-35,0,60,Graduate,Pass,-95,240,335,240,112,683,1977,93,67.15384615,Data Science,30,14,Highasbence,Udemy,Very Low,1,228,135,
Data Science,2012,586196,Student,Wales,Beginner,0-35,0,30,Graduate,Pass,-95,261,356,261,12,70,301,90,85.55555556,Artificial Intelligence,12,42,Lowasbence,Coursera,Very High ,1,213,123,
Data Science,2011,536926,Student,Leicester,Intermediate,0-35,0,60,Graduate,Pass,-93,240,333,240,162,781,1874,100,82.14285714,Machine learning,20,12,Lowasbence,Byjus,Medium,0,254,154,
Data Science,2012,587161,Professional, Oxfordshire,Intermediate,0-35,0,30,Graduate,Pass,-92,261,353,261,102,467,1651,90,72.22222222,Python,6,31,Lowasbence,Unacademy,High,1,262,172,
Data Science,2011,539066,Professional,Norfolk,Beginner,0-35,0,60,Graduate,Pass,-90,240,330,240,51,348,734,93,46.23076923,Data Science,20,48,Lowasbence,Vedantu,Low,0,225,132,
Data Science,2011,542205,Professional,Norfolk,Beginner,35-55,0,60,Graduate,Pass,-90,240,330,240,85,446,1508,93,89.07692308,Artificial Intelligence,30,20,Highasbence,Embibe,Very Low,1,290,197,
Data Science,2014,109441,Professional,Buckingham,Beginner,0-35,0,120,Graduate,Pass,-89,262,351,262,45,244,678,83,70,Data Science,20,15,Lowasbence,Toppr,Very High ,0,228,145,
Data Science,2014,116606,Student,Yorkshire Region,Beginner,35-55,0,60,Graduate,Pass,-89,262,351,262,41,171,511,83,58,Artificial Intelligence,20,12,Lowasbence,Brainly,Medium,0,291,208,
Data Science,2011,542049,Student,Norfolk,Intermediate,0-35,0,120,Graduate,Pass,-89,240,329,240,141,767,1775,100,68.28571429,Artificial Intelligence,8,15,Lowasbence,Class Plus,High,1,253,153,
Data Science,2011,543756,Student,London ,Beginner,0-35,0,60,Post Graduate,Pass,-89,240,329,240,213,960,2817,100,75.78571429,Python,12,14,Lowasbence,EduKart,Low,1,266,166,
Data Science,2014,288086,Professional,Cheshire,Beginner,0-35,0,180,Graduate,Pass,-88,262,350,262,33,113,426,83,61.8,Python,30,20,Highasbence,WizIQ,Very Low,1,296,213,
Data Science,2012,583423,Professional,Norfolk,Advanced,0-35,0,30,Graduate,Pass,-88,261,349,261,38,165,497,90,86.66666667,Python,38,21,Highasbence,Udemy,Very High ,0,207,117,
Data Science,2014,191973,Professional,Leicester,Beginner,35-55,0,60,Graduate,Pass,-87,262,349,262,16,125,588,83,48,Python,21,16,Highasbence,Coursera,Medium,0,229,146,
Data Science,2014,237913,Professional,Wales,Beginner,0-35,2,60,Graduate,Pass,-87,262,349,262,157,623,2224,83,76,Artificial Intelligence,30,12,Highasbence,Byjus,High,1,240,157,
Data Science,2011,1444520,Professional,Norfolk,Advanced,35-55,0,60,Graduate,Pass,-87,240,327,240,122,987,3501,92,91.16666667,Artificial Intelligence,20,48,Lowasbence,Unacademy,Low,1,297,205,
Data Science,2011,1536138,Student,Surrey,Advanced,35-55,0,90,Graduate,Pass,-86,240,326,240,61,454,1652,92,80.08333333,Machine learning,21,25,Highasbence,Vedantu,Very Low,1,264,172,
Data Science,2012,583146,Professional, Oxfordshire,Intermediate,0-35,0,30,Graduate,Pass,-86,261,347,261,44,214,808,90,80.55555556,Python,20,12,Lowasbence,Embibe,Very High ,1,212,122,
Data Science,2012,586598,Professional, Oxfordshire,Intermediate,0-35,0,30,Graduate,Pass,-86,261,347,261,26,120,370,90,85,Data Science,14,25,Lowasbence,Toppr,Medium,1,217,127,
Data Science,2014,258840,Professional,Leicester,Intermediate,0-35,1,60,Graduate,Pass,-85,262,347,262,55,175,511,83,55.6,Artificial Intelligence,21,16,Highasbence,Brainly,High,1,223,140,
Data Science,2011,543202,Professional, Oxfordshire,Intermediate,35-55,0,60,Graduate,Pass,-85,240,325,240,162,1095,2607,100,85.07142857,Data Science,20,15,Lowasbence,Class Plus,Low,0,265,165,
Data Science,2012,584299,Professional, Oxfordshire,Advanced,35-55,0,30,Graduate,Pass,-85,261,346,261,81,353,927,80,75.625,Artificial Intelligence,30,20,Highasbence,EduKart,Very Low,1,239,159,
Data Science,2011,537139,Professional,Norfolk,Intermediate,0-35,0,60,Graduate,Pass,-83,240,323,240,90,357,672,100,45.92857143,Machine learning,17.45,8,Lowasbence,WizIQ,Very High ,1,251,151,
Data Science,2014,284762,Professional,Scotland,Advanced,0-35,2,60,Graduate,Pass,-82,262,344,262,36,210,854,83,90,Python,6,17,Lowasbence,Udemy,Medium,1,242,159,
Data Science,2011,543459,Student,Hampshire,Intermediate,0-35,0,60,Graduate,Pass,-82,240,322,240,90,372,1008,100,73.57142857,Data Science,16,23,Lowasbence,Coursera,High,0,254,154,
Data Science,2012,583532,Professional,Buckingham,Intermediate,0-35,0,30,Graduate,Pass,-81,261,342,261,114,428,2027,90,68.66666667,Artificial Intelligence,21,16,Highasbence,Byjus,Low,1,252,162,
Data Science,2012,585041,Professional, Oxfordshire,Intermediate,35-55,0,30,Post Graduate,Pass,-81,261,342,261,39,135,386,90,73.88888889,Data Science,30,12,Highasbence,Unacademy,Very Low,0,276,186,
Data Science,2012,585768,Professional,Norfolk,Intermediate,0-35,0,30,Post Graduate,Pass,-81,261,342,261,20,91,188,70,77.85714286,Artificial Intelligence,26,10,Highasbence,Vedantu,Very High ,1,240,170,
Data Science,2012,2698535,Student,Surrey,Intermediate,0-35,0,60,Graduate,Pass,-74,268,342,268,110,709,3455,80,54.25,Machine learning,6,31,Lowasbence,Embibe,Medium,0,232,152,
Data Science,2012,585608,Professional,Yorkshire Region,Intermediate,0-35,0,30,Graduate,Pass,-74,261,335,261,29,124,422,90,81.33333333,Python,21,16,Highasbence,Toppr,High,0,251,161,
Data Science,2012,585668,Student,Buckingham,Beginner,0-35,0,30,Graduate,Pass,-74,261,335,261,28,117,431,90,85.33333333,Data Science,30,12,Highasbence,Brainly,Low,1,236,146,
Data Science,2011,539622,Professional,Norfolk,Beginner,0-35,0,60,Graduate,Pass,-73,240,313,240,131,752,1793,100,87.5,Artificial Intelligence,12,14,Lowasbence,Class Plus,Very Low,1,266,166,
Data Science,2011,542036,Student,Buckingham,Beginner,35-55,0,60,Graduate,Pass,-73,240,313,240,97,486,1042,93,81.92307692,Data Science,6,27,Lowasbence,EduKart,Very High ,1,223,130,
Data Science,2013,626763,Student,Surrey,Intermediate,0-35,0,60,Graduate,Pass,-72,241,313,241,133,613,3150,50,84.6,Artificial Intelligence,30,33,Highasbence,WizIQ,Medium,0,227,177,
Data Science,2014,126800,Professional,Surrey,Beginner,35-55,0,120,Graduate,Pass,-71,262,333,262,85,410,1501,83,68,Machine learning,21,16,Highasbence,Udemy,High,1,294,211,
Data Science,2013,627348,Student,Cheshire,Intermediate,0-35,0,60,Graduate,Pass,-71,241,312,241,52,243,942,50,78.2,Python,12,42,Lowasbence,Coursera,Low,0,297,247,
Data Science,2012,586787,Student,Surrey,Beginner,0-35,0,30,Graduate,Pass,-70,261,331,261,26,121,354,70,84.28571429,Data Science,21,25,Highasbence,Byjus,Very Low,1,238,168,
Data Science,2012,585236,Professional, Oxfordshire,Intermediate,0-35,0,30,Graduate,Pass,-69,261,330,261,17,94,155,80,55.375,Artificial Intelligence,32,2,Highasbence,Unacademy,Very High ,0,241,161,
Data Science,2011,539643,Professional,London ,Beginner,0-35,0,60,Graduate,Pass,-68,240,308,240,78,357,911,86,68.58333333,Data Science,17.45,8,Lowasbence,Vedantu,Medium,0,288,202,
Data Science,2013,627622,Professional,Norfolk,Advanced,0-35,0,60,Graduate,Pass,-68,241,309,241,68,522,2488,92,70.16666667,Artificial Intelligence,6,17,Lowasbence,Embibe,High,0,250,158,
Data Science,2012,501637,Professional,London ,Intermediate,0-35,1,120,Post Graduate,Pass,-67,268,335,268,112,526,1570,92,80.72727273,Machine learning,12,14,Lowasbence,Toppr,Low,1,236,144,
Data Science,2013,628008,Student,Yorkshire Region,Advanced,0-35,0,60,Graduate,Pass,-67,241,308,241,90,385,924,86,73.83333333,Python,20,19,Lowasbence,Brainly,Very Low,0,256,170,
Data Science,2012,583031,Professional, Oxfordshire,Advanced,35-55,0,30,Post Graduate,Pass,-67,261,328,261,34,186,604,90,70.55555556,Data Science,38,12,Highasbence,Class Plus,Very High ,1,297,207,
Data Science,2012,585141,Professional,Scotland,Advanced,35-55,0,30,Graduate,Pass,-66,261,327,261,9,81,309,80,86.875,Artificial Intelligence,26,10,Highasbence,EduKart,Medium,1,252,172,
Data Science,2014,142324,Professional,London ,Intermediate,35-55,1,120,Graduate,Pass,-65,262,327,262,35,174,579,83,79.4,Data Science,20,48,Lowasbence,WizIQ,High,0,283,200,
Data Science,2014,235371,Student,Buckingham,Intermediate,0-35,0,60,Graduate,Pass,-65,262,327,262,24,92,275,83,56.4,Artificial Intelligence,30,20,Highasbence,Udemy,Low,0,253,170,
Data Science,2013,628347,Professional,Surrey,Intermediate,0-35,0,60,Graduate,Pass,-65,241,306,241,82,339,691,100,73,Machine learning,8,15,Lowasbence,Coursera,Very Low,1,214,114,
Data Science,2013,625552,Student,Cheshire,Intermediate,0-35,0,60,Graduate,Pass,-62,241,303,241,96,318,1009,90,64.22222222,Python,20,15,Lowasbence,Byjus,Very High ,1,283,193,
Data Science,2013,627343,Professional,Surrey,Intermediate,0-35,0,60,Graduate,Pass,-61,241,302,241,98,461,1497,90,86.33333333,Data Science,6,31,Lowasbence,Unacademy,Medium,0,240,150,
Data Science,2013,628376,Student,Surrey,Beginner,0-35,0,60,Graduate,Pass,-61,241,302,241,93,373,1021,100,80.71428571,Artificial Intelligence,8,14,Lowasbence,Vedantu,High,1,268,168,
Data Science,2013,627860,Student,London ,Beginner,0-35,0,90,Graduate,Pass,-61,241,302,241,82,564,2149,92,80.08333333,Data Science,32,2,Highasbence,Embibe,Low,1,293,201,
Data Science,2014,286338,Professional,Leicester,Beginner,35-55,0,60,Graduate,Pass,-60,262,322,262,93,410,1444,83,57.4,Artificial Intelligence,17.45,8,Lowasbence,Toppr,Very Low,0,248,165,
Data Science,2012,585613,Professional,Norfolk,Advanced,0-35,0,30,Graduate,Pass,-60,261,321,261,41,176,675,70,72,Machine learning,4,50,Lowasbence,Brainly,Very High ,1,228,158,
